Local time,Open,High,Low,Close,Volume
16.09.2018 20:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 21:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 22:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
16.09.2018 23:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 00:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 01:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 02:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 03:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 04:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 05:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 06:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 07:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 08:00:00.000 GMT-0400,183.977,183.977,183.977,183.977,0
17.09.2018 09:00:00.000 GMT-0400,183.628,183.788,182.637,182.938,21.1363
17.09.2018 10:00:00.000 GMT-0400,182.938,182.948,181.758,181.968,34.671
17.09.2018 11:00:00.000 GMT-0400,181.958,182.498,181.908,182.438,24.5112
17.09.2018 12:00:00.000 GMT-0400,182.448,182.727,182.297,182.528,21.3434
17.09.2018 13:00:00.000 GMT-0400,182.527,182.638,181.987,182.388,19.9495
17.09.2018 14:00:00.000 GMT-0400,182.378,182.528,182.017,182.107,17.7905
17.09.2018 15:00:00.000 GMT-0400,182.107,182.188,181.157,181.338,26.1598
17.09.2018 16:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 17:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 18:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 19:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 20:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 21:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 22:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
17.09.2018 23:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 00:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 01:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 02:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 03:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 04:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
18.09.2018 05:00:00.000 GMT-0400,181.338,181.338,181.338,181.338,0
